"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4789","navigate to form page @smoke","chromium","Tue Apr 08 12:56:11 SAST 2025","passed","Tue Apr 08 12:56:16 SAST 2025","","pageObjectModel.spec.ts","",""
"","5148","parametrized methods @smoke @regression","chromium","Tue Apr 08 12:56:11 SAST 2025","passed","Tue Apr 08 12:56:16 SAST 2025","","pageObjectModel.spec.ts","",""
